log_id,user_id,session_id,timestamp,action_type,item_id,item_name,quantity,price,currency,item_level,rarity
a265b114-2435-4734-b8b6-04a5d450812a,446213f7-d23e-464f-a0ac-23f35fe9241e,22df78fb-8d4e-4093-9685-85ac99f6cef5,2025-07-15T04:01:53.336160,sell,item_0466,아이템_0466,1,4865,gold,9,epic
116c6ccc-ce2f-4a2f-803f-e6d317789295,5e199c66-bbbc-4490-8a14-75f20b58896e,21935c28-3927-4d5b-adbc-3cca168f5a2f,2025-07-12T09:05:46.336160,sell,item_0073,아이템_0073,4,4400,gold,17,common
ee532e8d-9c43-42da-9d65-d358ea896731,aaa2c1e2-74d3-4019-835f-391c06a7e3d3,a3d8c47e-b5cf-4520-ac7a-21dd36232a3b,2025-07-17T21:43:02.336160,use,item_0162,아이템_0162,2,1975,gold,11,epic
2a08255c-3e25-4ea5-ab6f-a9ca1a473c43,9937f3cd-0b0d-4348-9fd6-569b268d0341,572fc085-8898-4f60-9824-970a2e2806a5,2025-07-10T21:55:46.336160,sell,item_0240,아이템_0240,3,3881,gold,19,common
4de6e8e7-5ef6-4e83-bba8-e44e4821c426,3c329619-9d49-4600-8eb3-f2cbdbe595d9,4fc0d886-c85d-4f36-a030-4ce46613491a,2025-07-11T06:48:32.336160,sell,item_0297,아이템_0297,3,361,gold,19,common
3e1577dc-9cd7-4774-a0fe-2ca641b68eed,47b27fa9-35b8-4e6c-9a9c-c6344415ab71,f0aa5b92-2170-48bc-9aa0-26acf4325217,2025-07-18T15:43:02.336160,trade,item_0489,아이템_0489,3,1241,gold,4,epic
d1519688-c61b-43f2-ba29-ccb5911a566a,1f2f147e-e0f8-4e0e-95ed-d8c28a530ece,cfa2836f-b97a-4baa-94bb-080783ac2fc5,2025-07-16T06:41:39.336160,acquire,item_0302,아이템_0302,5,2039,gold,13,rare
2d6ca0e8-37c7-48f7-a4a1-b43f85cb5f8e,2b6ba8b1-6bcd-40e6-8388-b8eaaf0c1d6a,0441e288-7cdc-4b7f-807d-09669a1027cb,2025-07-13T15:53:55.336160,enhance,item_0372,아이템_0372,4,982,gold,12,common
2ae1f1a9-e2ab-4b97-a37a-43293a838ad3,c78aff27-aa4b-4763-8b17-594853eed423,7d01d8e8-81d3-41b3-922c-96e9a54be124,2025-08-02T05:42:01.336160,sell,item_0260,아이템_0260,3,487,gold,3,epic
a11d9c50-03c1-4ded-b2fb-f82a098f723e,960dd843-f1bf-4eb6-8bf3-710bd7c0519f,231eb0ba-d621-4d42-bd71-1ef12ced8b0b,2025-07-12T21:52:26.336160,buy,item_0186,아이템_0186,4,1881,gold,19,rare
395d2670-6ced-4909-a8cc-0e6560e5812d,dcb5dbab-18ea-474c-a1b7-243e06aec326,a3adc80d-d01a-465a-8517-9838195208b1,2025-07-25T12:43:06.336160,acquire,item_0268,아이템_0268,5,813,gold,13,common
f0eae17a-09db-4679-92b7-d793d0d2825d,3c36fa10-4b66-48b6-a205-eed30f2f2dee,39385a0e-cb20-45e6-919d-682d6ada2263,2025-07-12T05:03:55.336160,trade,item_0342,아이템_0342,2,2866,gold,1,rare
4d11bff1-06e4-49d5-8701-bd455f7434f5,270baed9-a20e-4d32-9425-94c82805a737,41d9b2b2-fdfa-4c16-9584-df85d1e4a6e2,2025-07-22T23:08:42.336160,buy,item_0342,아이템_0342,2,1485,gold,19,rare
2f7f9f99-9a3b-45b8-af97-cf691936b4da,148898ce-6c55-4800-8174-328124255cb8,a3cfd36d-f9e4-4cff-a53b-1e3d2f347079,2025-07-15T11:49:44.336160,buy,item_0319,아이템_0319,2,1392,gold,10,rare
7283db84-070e-4a4e-9967-38e6fb333184,c295bafd-c686-4ccd-ba2f-1ff28d1132fd,163e98a4-50f6-4a2c-83ed-6954e76cbafb,2025-07-14T19:43:46.336160,trade,item_0360,아이템_0360,5,2046,gold,19,epic
d6752e0a-8898-496c-80ed-4521f2399724,d0820048-05e5-4513-9fe4-66dadaab1d84,039a89d3-6a10-48fd-b366-ee0b8440aa9d,2025-07-10T10:54:31.336160,acquire,item_0146,아이템_0146,1,4864,gold,7,common
9deffb82-1e9b-4ade-b591-10ae8701a0a3,2ae186d3-a8f2-4e78-b63b-b4616eb98661,8f5ef6dc-ec41-457d-bbb3-7404594cc8c6,2025-08-04T21:51:19.336160,sell,item_0195,아이템_0195,4,1505,gold,18,rare
b16180e1-5acf-4448-8f59-9cdff7a655a5,432d1afa-1632-40d8-bbea-87e06a95270d,0f7ef4be-ca6a-45ec-a1a3-dfa88cf26321,2025-07-10T18:31:50.336160,use,item_0422,아이템_0422,5,1977,gold,17,epic
38d737c7-5265-4570-bf48-c95007b51527,d0820048-05e5-4513-9fe4-66dadaab1d84,b2e8ad00-c73d-4d03-b3ee-151b89cd3a36,2025-07-21T16:18:36.336160,trade,item_0445,아이템_0445,3,1059,gold,8,rare
2a4df91c-f207-4f4f-a178-7e511c66cde9,8efc2032-6270-4c22-b87b-8dbc857ccd85,e34ac8e0-c84d-4d38-928d-48cba334fd82,2025-07-29T18:42:29.336160,sell,item_0173,아이템_0173,1,2830,gold,11,rare
b6385202-03ad-47c9-9315-1494223a1310,59fba38a-7d89-47b3-885d-9c5c791384c8,245312ad-44fe-4235-9800-39145c1217ca,2025-07-13T21:58:32.336160,use,item_0157,아이템_0157,5,4295,gold,10,common
9be0948a-6d7a-4dd6-89ae-a8f5787b664a,ee03f7cf-8cdf-4c80-af32-cee07a152176,16e0a600-cdd2-4daf-be76-795cb0fd8c80,2025-07-14T22:18:07.336160,enhance,item_0487,아이템_0487,5,416,gold,15,epic
c142e592-50df-497a-a9ff-14978151d7a8,9f0586cf-b2e5-4f31-a117-12a77d66926f,ee0881d5-7ab9-409f-9b6a-05ef2b0d9fbb,2025-07-28T21:53:29.336160,sell,item_0468,아이템_0468,5,3029,gold,20,epic
3aeaea25-b2e8-4584-8d69-66de730c7e9b,dee7b126-9b68-470f-9730-d74ab1c0b25d,97ae7197-7a05-44d2-ac3d-d708c345d477,2025-07-31T01:23:46.336160,use,item_0026,아이템_0026,3,2443,gold,13,common
0ab7d5e1-65c0-43d7-81ad-dbf7c3a67b46,3e906c02-f9f7-4902-ba91-52e1068e3484,a304620d-74c0-4b83-b452-54ec79baa604,2025-07-15T05:52:28.336160,trade,item_0173,아이템_0173,4,1365,gold,8,rare
2524916f-dc7b-4bbb-9aae-b3ce98e38bef,014f1973-2d38-4f5f-a423-940295db49b8,15bd2fdd-0c94-4442-9ca8-d12b0edfb131,2025-07-14T12:26:10.336160,sell,item_0045,아이템_0045,1,2800,gold,7,rare
2dfc0608-e017-4ec7-8371-48f815954526,acb03cb8-16d5-4952-81a0-e1f5578c6224,37b602cb-dd73-4c09-ad40-9650f2ad2407,2025-07-26T10:01:50.336160,buy,weapon_legendary_001,아이템_001,1,9900,gold,16,legendary
101d1ce6-a45c-4f53-8dc0-2496a1fc6623,b785fa1f-7aca-4ea4-ae44-120e62747a7c,2a6cb5ca-b34d-4251-85c6-f0767a2c8ab5,2025-07-12T05:56:16.336160,trade,item_0252,아이템_0252,5,3513,gold,2,common
772af5f6-23bd-496c-adf0-3c4152686376,575df796-4b08-4cda-be59-5412ff0a6d20,c2e7e0fe-a1f4-4cba-8390-5904fb44e776,2025-07-23T08:07:18.336160,use,item_0175,아이템_0175,2,1125,gold,14,rare
7dbe05e8-50f7-430a-86b4-00709efce6b7,e18cd873-90bc-4c52-b8a8-aa06e3e87f2b,37888ec7-434d-4db4-924d-34a3ffc99587,2025-07-14T07:46:39.336160,enhance,item_0213,아이템_0213,5,2622,gold,5,rare
70d6a972-6a7c-48ee-85f9-cae3bd819f1c,9fb3ff64-4f82-40c5-a8af-61e744935e35,f927780a-a49f-46b3-944e-375509314fe2,2025-07-18T22:01:41.336160,trade,item_0479,아이템_0479,3,3535,gold,11,rare
88d939b5-bd60-45a3-af54-296963b4fd2f,a33a8912-82d4-4e33-ac15-98d1d1e3c67e,0ec8b333-dd48-40d2-bbf5-1b1782386102,2025-07-09T18:50:00.336160,acquire,item_0003,아이템_0003,3,2719,gold,18,common
22555b0c-4efb-4972-b934-989da9104e39,895ae1cd-347c-4454-b707-e5aad54ce18e,155e7d45-2a2d-4a96-ae70-fd51481023a1,2025-07-27T17:02:13.336160,acquire,item_0216,아이템_0216,4,431,gold,19,common
4621cdd1-3dd7-4e97-831e-11f81bdecc9a,50d00c9c-05aa-42a5-84c8-82ce1f4d3aed,6c4f9a9b-34e8-4765-985c-83dd4aee9953,2025-07-24T15:44:22.336160,trade,item_0319,아이템_0319,5,3212,gold,12,rare
8d7c55c2-9dff-455e-9ac9-ca50d77d89e6,833606f1-6711-493b-aa1b-eb64a637eb0b,b3273936-5e52-4fbf-a39d-57ff0ce72f58,2025-07-15T03:18:35.336160,sell,item_0296,아이템_0296,2,992,gold,8,rare
e12444b6-69c8-44ef-b7b0-d5b3cfdaddca,db4fdbb1-fa41-41d3-93cd-ac02f3a0cbfc,48d2bee3-293d-4157-b341-f87492bd9cc5,2025-07-18T11:18:42.336160,enhance,item_0212,아이템_0212,3,4503,gold,7,epic
96075992-e429-45e5-b421-86ce79344960,96e80aea-36db-4e46-8ca4-b782e8b8fbb4,4af6a15c-4188-4b54-9e67-895df5f77c63,2025-07-21T07:03:35.336160,trade,item_0022,아이템_0022,1,1514,gold,9,common
d66758b0-899c-4830-9e46-fd0a2d63b9a9,4fe0cb77-7654-433f-8ea5-c8044970be1c,d89e4a9d-92c0-4fdf-a7c2-8c21c17ec59a,2025-07-09T19:47:05.336160,enhance,item_0257,아이템_0257,5,3074,gold,18,common
4ac12f45-9c9e-437f-8655-fac329c75861,27cd694c-fbd1-4387-b621-cd81a371ee3e,3188b34b-dea4-4ce3-8ce9-e099c3114fcc,2025-07-16T06:58:27.336160,buy,item_0385,아이템_0385,2,3829,gold,8,rare
