log_id,user_id,session_id,login_time,logout_time,session_duration_seconds,device,os_version,app_version,ip_address,country,timestamp
57e13ce1-0ae0-4e44-a949-9a9211a5747c,27178f88-3823-4e97-9d7f-7e8c46513122,25c592fd-d53f-4245-8e15-0d4541844e18,2025-07-12T15:08:48.336160,2025-07-12T16:31:07.336160,4939,Android,Android 12,1.1.1,81.154.20.149,GR,2025-07-12T15:08:48.336160
411247e5-1a80-46d1-9ab6-b916acec410b,acd2b43b-5ecf-4554-8269-3a07b57f978a,14cd636e-6a10-42ec-b9a1-2405ae3544c9,2025-07-13T14:21:48.336160,2025-07-13T15:04:22.336160,2554,iPhone,iOS 17.0,1.2.0,178.200.51.240,AU,2025-07-13T14:21:48.336160
49228240-7834-4f0d-afba-994e2d920d25,9cffbd58-c532-4610-b8cf-9a6e290b5bef,05c5de21-fdc4-436f-b1b7-f5a165c7d0f3,2025-08-04T19:03:48.336160,2025-08-04T21:24:46.336160,8458,PC,Windows 11,1.0.1,78.227.234.134,TJ,2025-08-04T19:03:48.336160
5b8fbb07-e80d-4c07-9119-cbb4b38dfbb5,f94b122f-756b-46ee-bfb2-9d25d2ce711e,73aa8a95-2886-443e-9ad7-495030d76be5,2025-08-05T12:17:48.336160,2025-08-05T12:40:54.336160,1386,PC,iOS 16.5,1.1.1,189.108.180.212,PE,2025-08-05T12:17:48.336160
3a307322-92c4-42cc-b5c3-a10813b75c96,9d2c835e-40db-4948-ae87-44f51291f7c1,4a6e6523-8e3a-49c5-afe9-5a49c2ec5e6f,2025-07-26T21:06:48.336160,2025-07-26T21:15:47.336160,539,iPhone,iOS 16.5,1.0.0,160.26.158.113,MC,2025-07-26T21:06:48.336160
2de8b2a7-dc9b-438b-ad85-1e14cced7f46,9e71de5e-d342-4d45-bbd1-65bfc93ddc22,6e494453-9bc6-46ef-bfa1-2650ff0044ba,2025-07-10T16:56:48.336160,2025-07-10T17:36:28.336160,2380,iPhone,Android 13,1.0.0,41.243.96.76,LU,2025-07-10T16:56:48.336160
f49f8ebb-f666-436f-815e-8248f8fbfaa6,f73cf9a8-4483-47ee-9a43-1bea5bf3c39b,767aa2c7-7aea-43da-9f68-bdd4b18099c6,2025-07-29T00:00:48.336160,2025-07-29T01:38:01.336160,5833,iPhone,Android 12,1.0.0,70.48.153.229,LY,2025-07-29T00:00:48.336160
3a3de842-98d0-48f9-8d4f-c33914fc66c4,c39a65b0-0194-43da-96ba-799531036c28,cf4dc604-308e-4984-a7de-4b1f9bf59b2c,2025-07-22T20:06:48.336160,2025-07-22T20:57:31.336160,3043,iPad,Android 13,1.1.0,167.89.205.230,MT,2025-07-22T20:06:48.336160
f6ec5b7b-0b13-43f4-a959-0e263bfeb35c,76bb4408-86a6-4091-afec-7dcb918e5830,462124c0-7e4f-4f68-9df2-a1ff9a9823c3,2025-07-22T02:13:48.336160,2025-07-22T03:03:36.336160,2988,iPhone,Windows 11,1.2.0,6.228.160.231,MA,2025-07-22T02:13:48.336160
0a8ca04d-1813-4f54-86ef-a8a0cf1a8260,b3340c71-9de9-4544-8b32-ebb0cdaf9e17,ae93e81e-487f-4df0-b1a7-a7f646994b83,2025-07-28T04:09:48.336160,2025-07-28T04:23:50.336160,842,iPad,iOS 17.0,1.0.1,78.149.226.163,BR,2025-07-28T04:09:48.336160
d37b3128-b73f-4d3e-ab6e-cceb338c473b,7f1d15f5-d84c-42ad-b176-5d207eb05966,08e30f01-fa43-45c5-bac0-83349af8609f,2025-07-21T05:38:48.336160,2025-07-21T07:31:24.336160,6756,iPhone,Android 12,1.1.0,220.41.254.122,PH,2025-07-21T05:38:48.336160
